Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 No","1057922.733","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2000","2000","1000 No","547253.435","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2000","2000","1000 No","510669.298","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2000","2000","1000 No","761700.63","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2000","2000","1000 No","291350.282","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 No","1077898.575","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2001","2001","1000 No","557645.081","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2001","2001","1000 No","520253.493","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2001","2001","1000 No","772339.048","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2001","2001","1000 No","299138.807","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 No","1097600.38","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2002","2002","1000 No","567873.061","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2002","2002","1000 No","529727.319","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2002","2002","1000 No","782001.968","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2002","2002","1000 No","307805.144","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2003","2003","1000 No","1116803.006","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2003","2003","1000 No","577829.968","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2003","2003","1000 No","538973.038","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2003","2003","1000 No","791442.579","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2003","2003","1000 No","316585.269","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2004","2004","1000 No","1135991.513","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2004","2004","1000 No","587765.467","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2004","2004","1000 No","548226.047","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2004","2004","1000 No","800652.72","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2004","2004","1000 No","325483.057","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2005","2005","1000 No","1154676.322","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2005","2005","1000 No","597426.194","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2005","2005","1000 No","557250.128","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2005","2005","1000 No","809639.268","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2005","2005","1000 No","334479.406","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2006","2006","1000 No","1172878.89","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2006","2006","1000 No","606815.988","X","Figure from external organization",""
