Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2000","2000","3050","FAO TIER 1","kt","54.8643","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2000","2000","3050","FAO TIER 1","kt","12.3445","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2000","2000","3050","FAO TIER 1","kt","67.2088","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2000","2000","3050","FAO TIER 1","kt","17810.332","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2000","2000","3050","FAO TIER 1","kt","17810.332","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2001","2001","3050","FAO TIER 1","kt","55.4584","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2001","2001","3050","FAO TIER 1","kt","12.4781","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2001","2001","3050","FAO TIER 1","kt","67.9365","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2001","2001","3050","FAO TIER 1","kt","18003.1725","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2001","2001","3050","FAO TIER 1","kt","18003.1725","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2002","2002","3050","FAO TIER 1","kt","49.7925","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2002","2002","3050","FAO TIER 1","kt","11.2033","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2002","2002","3050","FAO TIER 1","kt","60.9958","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2002","2002","3050","FAO TIER 1","kt","16163.887","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2002","2002","3050","FAO TIER 1","kt","16163.887","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2003","2003","3050","FAO TIER 1","kt","54.6669","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2003","2003","3050","FAO TIER 1","kt","12.3","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2003","2003","3050","FAO TIER 1","kt","66.9669","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2003","2003","3050","FAO TIER 1","kt","17746.2285","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2003","2003","3050","FAO TIER 1","kt","17746.2285","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2004","2004","3050","FAO TIER 1","kt","53.9358","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2004","2004","3050","FAO TIER 1","kt","12.1356","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2004","2004","3050","FAO TIER 1","kt","66.0714","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2004","2004","3050","FAO TIER 1","kt","17508.921","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2004","2004","3050","FAO TIER 1","kt","17508.921","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2005","2005","3050","FAO TIER 1","kt","55.5452","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2005","2005","3050","FAO TIER 1","kt","12.4977","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2005","2005","3050","FAO TIER 1","kt","68.0428","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2005","2005","3050","FAO TIER 1","kt","18031.342","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2005","2005","3050","FAO TIER 1","kt","18031.342","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2006","2006","3050","FAO TIER 1","kt","56.2409","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2006","2006","3050","FAO TIER 1","kt","12.6542","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2006","2006","3050","FAO TIER 1","kt","68.8951","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2006","2006","3050","FAO TIER 1","kt","18257.2015","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2006","2006","3050","FAO TIER 1","kt","18257.2015","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2007","2007","3050","FAO TIER 1","kt","59.6744","E","Estimated value",""
